Payment Date,Term[day],Discount
05 July 2019,0,1
10 July 2019,5,0.99966397
18 July 2019,13,0.999267478
25 July 2019,20,0.998803983
01 August 2019,27,0.9983399
13 August 2019,39,0.997736196
11 September 2019,68,0.995908046
11 October 2019,98,0.994240434
14 November 2019,132,0.992443658
11 December 2019,159,0.991050313
13 January 2020,192,0.989536929
13 April 2020,283,0.985275018
13 July 2020,374,0.981275028
13 January 2021,558,0.973721685
13 July 2021,739,0.966856359
12 July 2022,1103,0.952721544
12 July 2023,1468,0.938338842
11 July 2024,1833,0.923399926
13 July 2026,2565,0.890647904
11 July 2029,3659,0.838103817
11 July 2031,4389,0.802182094
12 July 2034,5486,0.75062268
13 July 2039,7313,0.672567449
13 July 2044,9140,0.60585672
13 July 2049,10966,0.54745982
11 July 2059,14616,0.453473523
11 July 2069,18269,0.38194295