Term[day],Term[y],Date,DF.mid
0,0,9/7/19,1
7,0.02,16/7/19,0.999612
14,0.04,23/7/19,0.999214
21,0.06,30/7/19,0.998745
28,0.08,6/8/19,0.998347
35,0.1,13/8/19,0.998004
42,0.12,20/8/19,0.997578
49,0.13,27/8/19,0.997141
56,0.15,3/9/19,0.996696
63,0.17,10/9/19,0.996242
70,0.19,17/9/19,0.995836
77,0.21,24/9/19,0.995443
84,0.23,1/10/19,0.995055
91,0.25,8/10/19,0.994671
98,0.27,15/10/19,0.994291
105,0.29,22/10/19,0.993915
112,0.31,29/10/19,0.993544
119,0.33,5/11/19,0.993177
126,0.35,12/11/19,0.992814
133,0.36,19/11/19,0.992449
140,0.38,26/11/19,0.992085
147,0.4,3/12/19,0.991725
154,0.42,10/12/19,0.991368
161,0.44,17/12/19,0.991033
168,0.46,24/12/19,0.990707
175,0.48,31/12/19,0.990386
182,0.5,7/1/20,0.99007
189,0.52,14/1/20,0.989754
196,0.54,21/1/20,0.989411
203,0.56,28/1/20,0.989071
210,0.58,4/2/20,0.988733
217,0.59,11/2/20,0.988398
224,0.61,18/2/20,0.988065
231,0.63,25/2/20,0.987735
238,0.65,3/3/20,0.987408
245,0.67,10/3/20,0.987083
252,0.69,17/3/20,0.98676
259,0.71,24/3/20,0.98644
266,0.73,31/3/20,0.986123
273,0.75,7/4/20,0.985808
280,0.77,14/4/20,0.985494
287,0.79,21/4/20,0.985174
294,0.81,28/4/20,0.984857
301,0.82,5/5/20,0.984541
308,0.84,12/5/20,0.984228
315,0.86,19/5/20,0.983916
322,0.88,26/5/20,0.983607
329,0.9,2/6/20,0.983299
336,0.92,9/6/20,0.982994
343,0.94,16/6/20,0.98269
350,0.96,23/6/20,0.982389
380,1.04,23/7/20,0.981101
410,1.12,22/8/20,0.979808
440,1.21,21/9/20,0.978542
470,1.29,21/10/20,0.977304
500,1.37,20/11/20,0.976094
530,1.45,20/12/20,0.97491
560,1.53,19/1/21,0.973744
590,1.62,18/2/21,0.972557
620,1.7,20/3/21,0.971391
650,1.78,19/4/21,0.970246
680,1.86,19/5/21,0.969123
710,1.95,18/6/21,0.96802
740,2.03,18/7/21,0.966913
770,2.11,17/8/21,0.965701
800,2.19,16/9/21,0.964498
830,2.27,16/10/21,0.963305
860,2.36,15/11/21,0.962121
890,2.44,15/12/21,0.960946
920,2.52,14/1/22,0.95978
950,2.6,13/2/22,0.958624
980,2.68,15/3/22,0.957477
1010,2.77,14/4/22,0.956338
1040,2.85,14/5/22,0.955209
1070,2.93,13/6/22,0.954089
1100,3.01,13/7/22,0.952978
1130,3.1,12/8/22,0.951771
1160,3.18,11/9/22,0.950569
1190,3.26,11/10/22,0.94937
1220,3.34,10/11/22,0.948174
1250,3.42,10/12/22,0.946983
1280,3.51,9/1/23,0.945795
1310,3.59,8/2/23,0.944611
1340,3.67,10/3/23,0.943431
1370,3.75,9/4/23,0.942254
1400,3.84,9/5/23,0.941081
1430,3.92,8/6/23,0.939912
1460,4,8/7/23,0.938746
1490,4.08,7/8/23,0.937521
1520,4.16,6/9/23,0.936288
1550,4.25,6/10/23,0.935056
1580,4.33,5/11/23,0.933825
1610,4.41,5/12/23,0.932595
1640,4.49,4/1/24,0.931366
1670,4.58,3/2/24,0.930138
1700,4.66,4/3/24,0.928911
1730,4.74,3/4/24,0.927685
1760,4.82,3/5/24,0.926461
1790,4.9,2/6/24,0.925237
1820,4.99,2/7/24,0.924015
1850,5.07,1/8/24,0.92272
1880,5.15,31/8/24,0.921394
1910,5.23,30/9/24,0.920065
1940,5.32,30/10/24,0.918735
1970,5.4,29/11/24,0.917403
2000,5.48,29/12/24,0.91607
2030,5.56,28/1/25,0.914735
2060,5.64,27/2/25,0.913399
2090,5.73,29/3/25,0.912061
2120,5.81,28/4/25,0.910722
2150,5.89,28/5/25,0.909381
2180,5.97,27/6/25,0.908039
2210,6.05,27/7/25,0.906696
2240,6.14,26/8/25,0.905351
2270,6.22,25/9/25,0.904005
2300,6.3,25/10/25,0.902658
2330,6.38,24/11/25,0.901309
2360,6.47,24/12/25,0.89996
2390,6.55,23/1/26,0.898609
2420,6.63,22/2/26,0.897257
2450,6.71,24/3/26,0.895903
2480,6.79,23/4/26,0.894549
2510,6.88,23/5/26,0.893194
2540,6.96,22/6/26,0.891837
2570,7.04,22/7/26,0.890463
2600,7.12,21/8/26,0.889047
2630,7.21,20/9/26,0.88763
2660,7.29,20/10/26,0.886211
2690,7.37,19/11/26,0.884789
2720,7.45,19/12/26,0.883366
2750,7.53,18/1/27,0.881942
2780,7.62,17/2/27,0.880515
2810,7.7,19/3/27,0.879087
2840,7.78,18/4/27,0.877657
2870,7.86,18/5/27,0.876226
2900,7.95,17/6/27,0.874793
2930,8.03,17/7/27,0.873359
2960,8.11,16/8/27,0.871923
2990,8.19,15/9/27,0.870486
3020,8.27,15/10/27,0.869047
3050,8.36,14/11/27,0.867607
3080,8.44,14/12/27,0.866165
3110,8.52,13/1/28,0.864722
3140,8.6,12/2/28,0.863278
3170,8.68,13/3/28,0.861833
3200,8.77,12/4/28,0.860387
3230,8.85,12/5/28,0.858939
3260,8.93,11/6/28,0.857491
3290,9.01,11/7/28,0.856041
3320,9.1,10/8/28,0.85459
3350,9.18,9/9/28,0.853138
3380,9.26,9/10/28,0.851685
3410,9.34,8/11/28,0.850232
3440,9.42,8/12/28,0.848777
3470,9.51,7/1/29,0.847322
3500,9.59,6/2/29,0.845865
3530,9.67,8/3/29,0.844408
3560,9.75,7/4/29,0.84295
3590,9.84,7/5/29,0.841492
3620,9.92,6/6/29,0.840032
3650,10,6/7/29,0.838572
3680,10.08,5/8/29,0.837152
3710,10.16,4/9/29,0.83568
3740,10.25,4/10/29,0.834207
3770,10.33,3/11/29,0.832734
3800,10.41,3/12/29,0.83126
3830,10.49,2/1/30,0.829736
3860,10.58,1/2/30,0.828311
3890,10.66,3/3/30,0.826835
3920,10.74,2/4/30,0.825359
3950,10.82,2/5/30,0.823883
3980,10.9,1/6/30,0.822406
4010,10.99,1/7/30,0.820929
4040,11.07,31/7/30,0.819451
4070,11.15,30/8/30,0.817974
4100,11.23,29/9/30,0.816496
4130,11.32,29/10/30,0.815017
4160,11.4,28/11/30,0.81349
4190,11.48,28/12/30,0.81206
4220,11.56,27/1/31,0.810581
4250,11.64,26/2/31,0.809103
4280,11.73,28/3/31,0.807624
4310,11.81,27/4/31,0.806145
4340,11.89,27/5/31,0.804616
4370,11.97,26/6/31,0.803187
4400,12.05,26/7/31,0.801734
4430,12.14,25/8/31,0.800312